-5, -5, 2.21033e-012
-5, -4.95, 2.83458e-012
-5, -4.9, 3.62605e-012
-5, -4.85, 4.62693e-012
-5, -4.8, 5.88934e-012
-5, -4.75, 7.47747e-012
-5, -4.7, 9.47014e-012
-5, -4.65, 1.19639e-011
-5, -4.6, 1.50766e-011
-5, -4.55, 1.89517e-011
-5, -4.5, 2.37633e-011
-5, -4.45, 2.97222e-011
-5, -4.4, 3.70825e-011
-5, -4.35, 4.61499e-011
-5, -4.3, 5.7291e-011
-5, -4.25, 7.09442e-011
-5, -4.2, 8.76318e-011
-5, -4.15, 1.07974e-010
-5, -4.1, 1.32707e-010
-5, -4.05, 1.62698e-010
-5, -4, 1.98968e-010
-5, -3.95, 2.42716e-010
-5, -3.9, 2.95345e-010
-5, -3.85, 3.58488e-010
-5, -3.8, 4.34043e-010
-5, -3.75, 5.24211e-010
-5, -3.7, 6.31529e-010
-5, -3.65, 7.58918e-010
-5, -3.6, 9.09727e-010
-5, -3.55, 1.08778e-009
-5, -3.5, 1.29743e-009
-5, -3.45, 1.54363e-009
-5, -3.4, 1.83196e-009
-5, -3.35, 2.16872e-009
-5, -3.3, 2.56098e-009
-5, -3.25, 3.01663e-009
-5, -3.2, 3.54447e-009
-5, -3.15, 4.15428e-009
-5, -3.1, 4.85684e-009
-5, -3.05, 5.66405e-009
-5, -3, 6.58892e-009
-5, -2.95, 7.64566e-009
-5, -2.9, 8.84975e-009
-5, -2.85, 1.02179e-008
-5, -2.8, 1.17681e-008
-5, -2.75, 1.35196e-008
-5, -2.7, 1.5493e-008
-5, -2.65, 1.77102e-008
-5, -2.6, 2.01941e-008
-5, -2.55, 2.29688e-008
-5, -2.5, 2.60597e-008
-5, -2.45, 2.94926e-008
-5, -2.4, 3.32944e-008
-5, -2.35, 3.74924e-008
-5, -2.3, 4.21144e-008
-5, -2.25, 4.7188e-008
-5, -2.2, 5.27408e-008
-5, -2.15, 5.87998e-008
-5, -2.1, 6.53913e-008
-5, -2.05, 7.254e-008
-5, -2, 8.02694e-008
-5, -1.95, 8.86006e-008
-5, -1.9, 9.75523e-008
-5, -1.85, 1.0714e-007
-5, -1.8, 1.17377e-007
-5, -1.75, 1.2827e-007
-5, -1.7, 1.39825e-007
-5, -1.65, 1.52039e-007
-5, -1.6, 1.64908e-007
-5, -1.55, 1.7842e-007
-5, -1.5, 1.92556e-007
-5, -1.45, 2.07294e-007
-5, -1.4, 2.22603e-007
-5, -1.35, 2.38445e-007
-5, -1.3, 2.54777e-007
-5, -1.25, 2.71548e-007
-5, -1.2, 2.887e-007
-5, -1.15, 3.06169e-007
-5, -1.1, 3.23885e-007
-5, -1.05, 3.4177e-007
-5, -1, 3.59743e-007
-5, -0.95, 3.77715e-007
-5, -0.9, 3.95594e-007
-5, -0.85, 4.13286e-007
-5, -0.8, 4.3069e-007
-5, -0.75, 4.47707e-007
-5, -0.7, 4.64234e-007
-5, -0.65, 4.80169e-007
-5, -0.6, 4.95412e-007
-5, -0.55, 5.09861e-007
-5, -0.5, 5.23422e-007
-5, -0.45, 5.36002e-007
-5, -0.4, 5.47514e-007
-5, -0.35, 5.57877e-007
-5, -0.3, 5.67017e-007
-5, -0.25, 5.74867e-007
-5, -0.2, 5.81371e-007
-5, -0.15, 5.8648e-007
-5, -0.1, 5.90157e-007
-5, -0.05, 5.92374e-007
-5, -9.39526e-015, 5.93115e-007
-5, 0.05, 5.92374e-007
-5, 0.1, 5.90157e-007
-5, 0.15, 5.8648e-007
-5, 0.2, 5.81371e-007
-5, 0.25, 5.74867e-007
-5, 0.3, 5.67017e-007
-5, 0.35, 5.57877e-007
-5, 0.4, 5.47514e-007
-5, 0.45, 5.36002e-007
-5, 0.5, 5.23422e-007
-5, 0.55, 5.09861e-007
-5, 0.6, 4.95412e-007
-5, 0.65, 4.80169e-007
-5, 0.7, 4.64234e-007
-5, 0.75, 4.47707e-007
-5, 0.8, 4.3069e-007
-5, 0.85, 4.13286e-007
-5, 0.9, 3.95594e-007
-5, 0.95, 3.77715e-007
-5, 1, 3.59743e-007
-5, 1.05, 3.4177e-007
-5, 1.1, 3.23885e-007
-5, 1.15, 3.06169e-007
-5, 1.2, 2.887e-007
-5, 1.25, 2.71548e-007
-5, 1.3, 2.54777e-007
-5, 1.35, 2.38445e-007
-5, 1.4, 2.22603e-007
-5, 1.45, 2.07294e-007
-5, 1.5, 1.92556e-007
-5, 1.55, 1.7842e-007
-5, 1.6, 1.64908e-007
-5, 1.65, 1.52039e-007
-5, 1.7, 1.39825e-007
-5, 1.75, 1.2827e-007
-5, 1.8, 1.17377e-007
-5, 1.85, 1.0714e-007
-5, 1.9, 9.75523e-008
-5, 1.95, 8.86006e-008
-5, 2, 8.02694e-008
-5, 2.05, 7.254e-008
-5, 2.1, 6.53913e-008
-5, 2.15, 5.87998e-008
-5, 2.2, 5.27408e-008
-5, 2.25, 4.7188e-008
-5, 2.3, 4.21144e-008
-5, 2.35, 3.74924e-008
-5, 2.4, 3.32944e-008
-5, 2.45, 2.94926e-008
-5, 2.5, 2.60597e-008
-5, 2.55, 2.29688e-008
-5, 2.6, 2.01941e-008
-5, 2.65, 1.77102e-008
-5, 2.7, 1.5493e-008
-5, 2.75, 1.35196e-008
-5, 2.8, 1.17681e-008
-5, 2.85, 1.02179e-008
-5, 2.9, 8.84975e-009
-5, 2.95, 7.64566e-009
-5, 3, 6.58892e-009
-5, 3.05, 5.66405e-009
-5, 3.1, 4.85684e-009
-5, 3.15, 4.15428e-009
-5, 3.2, 3.54447e-009
